employee_id,name,department,role,active,consent
675ffca1-689a-4612-8a6c-ec2b26d828b7,Mia Harris,Engineering,Engineering Manager,True,True
0b75914d-6db9-40d7-9d88-38bf123eb6ee,Sam Garcia,Engineering,Engineering Manager,True,True
f54765b0-22de-4344-9cf0-6727fd33086b,Quinn Walker,Engineering,Software Engineer,True,True
e261a6ba-a372-44e1-a7ba-818e28fdf437,Dave Thomas,HR,Recruiter,True,True
08dbd02e-776d-4289-afcb-3ef915f1c51c,Dave Moore,Engineering,Tech Lead,True,True
4c6cfb64-fefb-4679-8a3b-107a980688f7,Liam Clark,Sales,Sales Manager,True,True
ca99abd6-d8f0-4b28-aebc-056dcb441a87,Quinn Jackson,Engineering,Software Engineer,True,True
5d3d5e85-e70d-4db4-bcd9-f633fd7993d1,Xavier Miller,Sales,Account Executive,True,True
111f0390-fe2d-4cf7-80cc-17f4bd9da15a,Ivy Martin,Engineering,Tech Lead,True,True
015040da-6193-4694-a826-b0ab3cc691fb,Victor Rodriguez,Engineering,Tech Lead,True,True
9c32b44c-3483-432e-8b15-54ddc88cbec7,Uma Miller,Sales,Account Executive,True,True
66942ba5-50c1-4373-b674-9cb2859f7115,Hana White,HR,HR Specialist,True,True
95380937-d196-4bb9-9e41-0012f383a18a,Tara Garcia,HR,HR Specialist,True,True
00c83408-70d6-460b-8d58-80f5f48cc968,Beth Harris,HR,HR Manager,True,True
b4e2c252-caf2-4e95-afeb-eb9604b484ec,Yara Anderson,HR,HR Specialist,True,True
e7223dda-a505-4e7b-91db-0ae1d9b73eba,Noah Thomas,Sales,Sales Manager,True,True
f8c751f9-26f0-4005-9233-0db4125f28e7,Beth Moore,Sales,Sales Representative,True,True
420fde5e-ed17-4deb-8c10-95408fba7b63,Wendy Wright,Sales,Sales Representative,True,True
acaa9824-b95e-4825-8dbb-946fe9e624d9,Carl Walker,Sales,Sales Manager,True,True
713c3ab1-0cf2-4652-be7c-0247af147192,Hector Thomas,Sales,Sales Manager,True,True
ceff4cf9-8b4e-42ef-af75-4ddd60a32ec3,Beth Williams,HR,HR Manager,True,True
d5a99147-40a5-47e1-93a5-28e469f6e1e2,Aaron Lopez,Engineering,Engineering Manager,True,True
2fe880df-8cce-49f3-9d52-8cb7210789e1,Carol Robinson,Sales,BDR,True,True
b587d43a-752b-47aa-839f-913235ecd37d,Laura Brown,Sales,BDR,True,True
4e482518-8bab-4f62-912c-8ebabf47aaf7,Bob Moore,Engineering,Tech Lead,True,True
6c33ea19-3120-4242-ad3e-6fa65c427c85,Frank White,Engineering,Senior Engineer,True,True
47ddb95e-9a7e-4e16-9d8c-375c8fc843a3,Grace Moore,HR,HR Specialist,True,True
fb33c547-9207-4b2f-b6f5-5068a48bba80,Ethan Wright,Sales,Sales Manager,True,True
9472ad25-87bc-4918-a83c-f5378da4a05c,Tara Hall,Sales,Account Executive,True,True
e6e48d5a-d043-4e97-9712-a6faa090d073,George White,Sales,BDR,True,True
f24c054d-7f86-40d7-a3ec-ac29a793a3be,Mia Martin,HR,People Ops Analyst,True,True
430dd1bf-77c0-4dfc-8f37-e0cdfae3d079,Olivia Walker,Engineering,Software Engineer,True,True
5737d9ef-b882-40c9-a6e1-d952aea0037f,Hana Lee,Sales,BDR,True,True
bf4c8b61-0ad8-4d2f-a64e-f64c9773c811,Zoe Jones,HR,HR Specialist,True,True
14cea0b7-6603-4a11-9ca6-1555b6113bd6,Julia Brown,Sales,Sales Manager,True,True
b3038936-acbe-40e7-a415-885af5b28b8e,Noah Rodriguez,Engineering,Software Engineer,True,True
7f716ab9-ad67-41c6-8835-58366ac93b86,Yara Miller,Engineering,Senior Engineer,True,True
e169a259-6a22-473c-87d7-8c768ec4fe72,Ethan Jackson,Engineering,Tech Lead,True,True
271c5286-2f24-428f-82b6-b1dc8c0461df,Carl Young,HR,HR Manager,True,True
0ad75ed0-679f-445a-95b8-93d30e822167,Kate Moore,HR,Recruiter,True,True
ad337372-e37d-4ccd-a453-07b830c7f2a3,Kate King,Sales,BDR,True,True
